Sample,nm,zhang,ssdr,ours
procySTEM_SleepLieSeat2_cam1,1.0,0.5454545454545454,1.0,0.9090909090909092
deerVMW_WalkhuntedRM_cam2,1.0,0.1379310344827586,1.0,1.0
rabbit7L6_Attack2_cam1,1.0,0.1904761904761904,1.0,0.8947368421052632
moose45D_JumpLandingRM_cam1,1.0,0.5217391304347826,1.0,1.0588235294117647
deerA4K_Attack1_cam1,1.0,0.03125,1.0,0.8571428571428571
bear3EP_FlyIP_cam1,1.0,0.28,0.1034482758620689,0.5454545454545454
bearVGG_Sleep0_cam2,1.0,0.037037037037037,0.3571428571428571,1.0
foxXAT_Attack2_cam1,1.0,0.6363636363636364,1.0,1.0
procySTEM_WalkBack4_cam1,1.0,0.2727272727272727,0.1428571428571428,0.9523809523809524
deer2MB_WalkbackRM_cam1,1.0,0.1666666666666666,1.0,0.8275862068965517
tigerD8H_Actions5_cam1,1.0,0.4210526315789473,1.0,1.0
deer2MB_RunstopRM_cam2,1.0,0.21428571428571427,0.21739130434782608,0.64
