Sample,silh,depth,point_to_plane
tigerD8H_Actions5_cam1,0.8836522967584671,0.0059407393357926,0.1024283519748501
deerVMW_WalkhuntedRM_cam2,0.8787108787468502,0.0236257938002901,0.0531457089356924
raccoonVGG_Swim10_cam1,0.9237953319269068,0.0082221620318972,0.0097257876142136
bunnyQ_WalkBackRRM_cam1,0.94834520171086,0.0054929171067972,0.0415105610950787
bullMJ6_SwimBR_cam2,0.8708833135091342,0.0070496436136846,0.1309737286151773
bear3EP_FlyIP_cam1,0.9811410864194234,0.0028240394545719,0.0110662928259216
markerman_StandingDodgeRight_cam1,0.8936025027571053,0.0021877975849402,0.0045102380030743
pumaRW_Swim15_cam1,0.8723954653739929,0.0043422327563166,0.0064584933775545
bear84Q_Hide_cam1,0.9531650612751644,0.0076493223566406,0.0087830887025906
bearVGG_Sleep0_cam2,0.9383838321223404,0.0102172343982289,0.0380546035878258
rabbit7L6_Attack1_cam2,0.912591801583767,0.0066622686805203,0.0110087494880214
deerLO1_AttackRunRM_cam2,0.815551407635212,0.0028300257599767,0.0051755524069736
elkML_Sleep1_cam1,0.985251678360833,0.0073573399673808,0.0010095430294992
foxYSY_SwimBackrightRM_cam2,0.8937307238578797,0.002129647488861,0.0124565190813284
foxYSY_Crouchright_cam2,0.8908104281872511,0.0025687514826131,0.0354161819076789
deer2MB_eat2_cam2,0.7771039806306362,0.0041507336616632,0.0200366284136471
rabbitFKP_Death0_cam1,0.83904316169875,0.0073878150932224,0.0238201559574541
rabbitFKP_Sleep1_cam1,0.9403631428275444,0.0049132987471165,0.0036171276537607
moose1DOG_drink_cam1,0.9274699938297272,0.0024468997656367,0.0028491146186642
bear3EP_attack1_cam2,0.9474923133850096,0.0175645248591899,0.0236778247598924
foxYSY_hitfront_cam1,0.9448133200407028,0.0016437998972833,0.0249017825118357
moose1DOG_Attack3_cam1,0.9424978077411652,0.0042250550817698,0.0021519460964757
moose45D_JumpFlyIP_cam1,0.965855340162913,0.0019016697769984,0.0138206248381214
rabbitJM6_Damaged4_cam2,0.8855178264471201,0.017347969864316,0.0402638720376382
bear3EP_WalkbackRM_cam2,0.9312960915267467,0.0112313088902737,0.0152907036669817
foxZED_JumpupRM_cam1,0.8046221695840359,0.012503124657087,0.1855202170836226
hogRD_Attack3_cam1,0.8728419542312622,0.0063724137470126,0.1328102655907224
bucksYJL_Sleep1_cam1,0.986446537203708,0.0035725647220545,0.0007816568751046
bear84Q_WalkhuntedRM_cam2,0.8667652159929276,0.0140065662562847,0.0740353031279085
procySTEM_Attacks3_cam1,0.9255310753981272,0.0068512341201615,0.0282041231793145
elephantLN0_act1_cam2,0.9437184378956304,0.0062714434073617,0.0300175537241837
tigerD8H_Swim6_cam1,0.9321812701721988,0.0038264767766425,0.0215033739170802
deerK5L_Jump_cam1,0.9393934011459352,0.001347614165085,0.0016511896398684
hogRD_Swim0_cam2,0.8511591680122145,0.0045715784627563,0.0031178218814688
deerSPL_Sleep2_cam1,0.9715707797115132,0.0023680588711937,0.0013937545954042
rabbit7L6_Hide_cam1,0.8935907089710236,0.0035422829503659,0.013512995587636
deerA4K_hide_cam1,0.9069206353028616,0.0030870877062746,0.0256808287976391
procySTEM_Swim12_cam2,0.895263053038541,0.0071376115152174,0.0750880826613017
bear9AK_RunleftRM_cam1,0.8112193743387858,0.006287304438754,0.0375610692547099
rabbit7L6_WalkbackRM_cam1,0.9360291759173076,0.0030688334469838,0.0156493837007498
raccoonVGG_Walk10_cam2,0.8602598688819192,0.0027955246799992,0.0407242097228814
deerFEL_WalkbackRM_cam2,0.9150424459401298,0.0083801420679425,0.0018022938632715
mousey_FemalePeekAndAim_cam2,0.8286145023810558,0.006569016236776,0.0242467370961758
deerA4K_Attack1_cam1,0.9498244404792786,0.0039265194255858,0.0244308809070241
grizzRSS_Walk4_cam2,0.9425411075353622,0.0072806159344812,0.1053072610416449
doggieMN5_Hide_cam1,0.93306842520833,0.002406076654006,0.0157475458509355
pumaRW_Sleep1_cam1,0.910825749238332,0.0083086927035691,0.0038871438421719
foxYSY_Crouchbackright_cam1,0.8715847507119179,0.0035699548789125,0.0072651284192925
bear3EP_RunforwardRM_cam1,0.9312353104352952,0.0023381966981105,0.0317554626745307
foxXAT_runrightRM_cam1,0.878004427999258,0.0031933754653437,0.0291851101756108
pumaRW_Run4_cam2,0.8059022352099419,0.0073264350940007,0.107346427938427
rabbit7L6_Sleep_cam2,0.9113599750730726,0.0055070765937368,0.0114277723381136
pumaRW_Swim8_cam1,0.8788165122270584,0.0059839052148163,0.0200895982479515
canieLTT_Death1_cam1,0.8726506565190568,0.0027470155202789,0.0114716025880488
moose45D_JumpLandingRM_cam1,0.8577519339673659,0.0052371129311402,0.0824104065656334
procySTEM_SleepLieSeat2_cam1,0.9511422390865192,0.0031596639770943,0.0189071973078539
procySTEM_WalkTwoFeet4_cam1,0.8505195492789859,0.0071555876971355,0.0658193347244615
lionessHTR42_action3_cam2,0.8875949676486029,0.0236824558156987,0.0126779286032008
bear84Q_Agression_cam2,0.9393687283992768,0.0076396395824849,0.0094994783079025
elkML_Death0_cam1,0.9143755085328046,0.0064944260041503,0.0050631178639347
procySTEM_Jump1_cam1,0.7449053319600912,0.0014399945743767,0.109155892203107
moose45D_hate_cam1,0.941394202709198,0.0072946793120354,0.056109865112221
bunnyQ_JumpLandingRM_cam1,0.8395228936122014,0.0051823164551303,0.0499369284829768
foxXAT_Attack2_cam1,0.9352480644981066,0.0022293380376747,0.0145238343330191
prisoner_BboyUprockStart_cam1,0.8439454447989371,0.0037882477935294,0.0035700097482445
rabbit7L6_Attack2_cam1,0.5925980349381764,0.0061972952700064,0.1912020309704934
bear9AK_CrouchRightRM_cam2,0.9258685837621274,0.015993848827708,0.0674475792283039
rabbitJM6_Fall2_cam1,0.9806593860067973,0.0020487240072703,0.0101499366636986
deer2MB_WalkbackRM_cam1,0.9343373635235954,0.0069169122040929,0.0085378656429977
foxYSY_JumplandingRM_cam2,0.9231909155845642,0.0028115053195506,0.0144476429090839
bear3EP_Hitmiddle_cam1,0.9643018037080764,0.0039912891952553,0.0142709070767919
raccoonVGG_SleepLieSeat1_cam1,0.9826871122954026,0.0008615961042727,0.004428092896456
procySTEM_WalkBack4_cam1,0.8965472916762034,0.004561266900661,0.043975020255482
deer2MB_RunstopRM_cam2,0.9294151139259338,0.0021010587690398,0.0016814700695356
doggieMN5_Jump_cam1,0.9408044304166522,0.0021136282411004,0.0255645159938439
doggieMN5_JumplandingRM_cam2,0.9244439959526062,0.0037819011136889,0.0165299628557526
moose1DOG_WalkleftRM_cam1,0.9007297790411748,0.002859216853694,0.0142758918896832
