Exp,silh,depth,depth-std,silh-std
Lepard+Confidence+NICP,0.8421366012069088,0.0063870040136449775,0.006345059107168482,0.14221116094252406
OcclusionFusion,0.8446302836168574,0.006415111683635072,0.006417316160898837,0.1438112214823581
Lepard,0.614284878747821,0.00952665391465611,0.008805502759339487,0.23082059451267903
Lepard+NICP,0.8461159588411226,0.006358482081644091,0.0049167402596220116,0.13058065034717767
NICP,0.9009324679038309,0.005903914790306063,0.004563408526411046,0.06164995789719209
