Sample,silh,depth,point_to_plane
tigerD8H_Actions5_cam1,0.5025950763975421,0.0110178942071093,
deerVMW_WalkhuntedRM_cam2,0.3140242715765323,0.0234462210376347,
raccoonVGG_Swim10_cam1,0.6046182372990776,0.0072144840198555,
bunnyQ_WalkBackRRM_cam1,0.7036101017147303,0.0087758269898282,
bullMJ6_SwimBR_cam2,0.5063778319610999,0.0086547720890778,
bear3EP_FlyIP_cam1,0.9563366095225015,0.0038468425627797,
markerman_StandingDodgeRight_cam1,0.8118779268758051,0.002983293393707,
pumaRW_Swim15_cam1,0.6866565072536468,0.0056877630855888,
bear84Q_Hide_cam1,0.3064373733475804,0.0188180135543613,
bearVGG_Sleep0_cam2,0.2479742107292016,0.0146746824006314,
rabbit7L6_Attack1_cam2,0.3527557924389839,0.0213210491230711,
deerLO1_AttackRunRM_cam2,0.4900373136624694,0.0038416948809754,
elkML_Sleep1_cam1,0.3241795147157679,0.025925969095275,
foxYSY_SwimBackrightRM_cam2,0.7406000663836797,0.0028297114690455,
foxYSY_Crouchright_cam2,0.5986372577026486,0.0045336111470533,
deer2MB_eat2_cam2,0.4126994447782636,0.0061125782580347,
rabbitFKP_Death0_cam1,0.3323620823877198,0.0102968451600255,
rabbitFKP_Sleep1_cam1,0.5896719186896026,0.0104807552121899,
moose1DOG_drink_cam1,0.5223518242686986,0.004970869020326,
bear3EP_attack1_cam2,0.3533482575416565,0.0362524469196796,
foxYSY_hitfront_cam1,0.947251358628273,0.001975972787477,
moose1DOG_Attack3_cam1,0.7657110108269586,0.0068199747035072,
moose45D_JumpFlyIP_cam1,0.9638600985209148,0.0021688738372176,
rabbitJM6_Damaged4_cam2,0.3231251402543141,0.0254736203557023,
bear3EP_WalkbackRM_cam2,0.7131538766507919,0.0090772244103181,
foxZED_JumpupRM_cam1,0.3564134929329157,0.010489272972336,
hogRD_Attack3_cam1,0.2933465203642845,0.0063102040346711,
bucksYJL_Sleep1_cam1,0.6461163552130683,0.0084077838642554,
bear84Q_WalkhuntedRM_cam2,0.2664562554231712,0.0251028712040611,
procySTEM_Attacks3_cam1,0.7309205830097198,0.0098904904637796,
elephantLN0_act1_cam2,0.5719814025560173,0.0121478153436081,
tigerD8H_Swim6_cam1,0.6318780131092886,0.0081773785698204,
deerK5L_Jump_cam1,0.6400788774092993,0.0027792890672571,
hogRD_Swim0_cam2,0.755146532347708,0.0053701773550446,
deerSPL_Sleep2_cam1,0.9696809811107184,0.0028111038416805,
rabbit7L6_Hide_cam1,0.439523382037878,0.0074279965617461,
deerA4K_hide_cam1,0.413605664173762,0.0061996597098186,
procySTEM_Swim12_cam2,0.482123249593903,0.0091992667701775,
bear9AK_RunleftRM_cam1,0.5113960839807987,0.0089952422454694,
rabbit7L6_WalkbackRM_cam1,0.7822109275695049,0.0053834035414073,
raccoonVGG_Walk10_cam2,0.7450679838657379,0.0034281647768458,
deerFEL_WalkbackRM_cam2,0.808296692721984,0.0077874898663995,
mousey_FemalePeekAndAim_cam2,0.3855337492930583,0.0089713224920277,
deerA4K_Attack1_cam1,0.6599736843258143,0.0069417513732332,
grizzRSS_Walk4_cam2,0.5570192821323872,0.0138705396481479,
doggieMN5_Hide_cam1,0.4521133649162948,0.0058242212980985,
pumaRW_Sleep1_cam1,0.2490872884489069,0.017237695503152,
foxYSY_Crouchbackright_cam1,0.5601446148939431,0.0062189724558265,
bear3EP_RunforwardRM_cam1,0.8190611839294434,0.0032997563772369,
foxXAT_runrightRM_cam1,0.7832348632315794,0.0037930946806833,
pumaRW_Run4_cam2,0.6240421496331692,0.0105857498710975,
rabbitJM6_Fall2_cam1,0.9720708000950696,0.0023199921252387,
deer2MB_WalkbackRM_cam1,0.9075485397787656,0.0067739014938364,
foxYSY_JumplandingRM_cam2,0.8982878386974334,0.0034551484044641,
bear3EP_Hitmiddle_cam1,0.9261500537395476,0.0062542127911001,
raccoonVGG_SleepLieSeat1_cam1,0.9783503169533592,0.0013245022627009,
procySTEM_WalkBack4_cam1,0.8972433904806772,0.005146325022603,
deer2MB_RunstopRM_cam2,0.9203659248352052,0.0024039702070876,
doggieMN5_Jump_cam1,0.9233299136161804,0.0025003540728773,
doggieMN5_JumplandingRM_cam2,0.928064864873886,0.0046624918701127,
moose1DOG_WalkleftRM_cam1,0.9185728810050272,0.002674195936627,
bear9AK_CrouchRightRM_cam2,0.2356765910011271,0.022355326005946,
moose45D_JumpLandingRM_cam1,0.6212429456851062,0.0065203332479166,
moose45D_hate_cam1,0.6180920663475991,0.0128398006130009,
lionessHTR42_action3_cam2,0.1684041363929493,0.0529007043257571,
prisoner_BboyUprockStart_cam1,0.5267326519185421,0.006025341383921,
elkML_Death0_cam1,0.5122476783307159,0.0062775089104166,
