Sample,silh,depth,point_to_plane
tigerD8H_Actions5_cam1,0.6729743692182726,0.0086854446469055,
deerVMW_WalkhuntedRM_cam2,0.7515930714351791,0.0213046001403459,
raccoonVGG_Swim10_cam1,0.9221710124436546,0.0081490159637349,
bunnyQ_WalkBackRRM_cam1,0.940439740816752,0.0056413764929554,
bullMJ6_SwimBR_cam2,0.6650666399643972,0.0075343563579596,
bear3EP_FlyIP_cam1,0.9811328093210856,0.0028982919796059,
markerman_StandingDodgeRight_cam1,0.8988721206270415,0.0021858844034983,
pumaRW_Swim15_cam1,0.7042307662963867,0.0053246516501531,
bear84Q_Hide_cam1,0.9515370493133862,0.0076270135061349,
bearVGG_Sleep0_cam2,0.9264486034711202,0.0100609500600834,
rabbit7L6_Attack1_cam2,0.9094395250082016,0.0066835458390414,
deerLO1_AttackRunRM_cam2,0.8325625211000443,0.0027267433142696,
elkML_Sleep1_cam1,0.9854502256470498,0.0069443030927255,
foxYSY_SwimBackrightRM_cam2,0.895162574450175,0.0020905140748557,
foxYSY_Crouchright_cam2,0.8569551520049572,0.0027543446158233,
deer2MB_eat2_cam2,0.7797909359137217,0.0041931751902059,
rabbitFKP_Death0_cam1,0.5404089731366738,0.0085771120274844,
rabbitFKP_Sleep1_cam1,0.9411543517401724,0.004875114271088,
moose1DOG_drink_cam1,0.9368808579444884,0.0023786080733407,
procySTEM_SleepLieSeat2_cam1,0.9967430233955384,0.000976227922365,
bear3EP_attack1_cam2,0.9445603013038636,0.01730099350214,
foxYSY_hitfront_cam1,0.9499911546707154,0.0015908863570075,
moose1DOG_Attack3_cam1,0.953133910894394,0.0040933615916098,
moose45D_JumpFlyIP_cam1,0.966145412127177,0.0018877258679519,
rabbitJM6_Damaged4_cam2,0.8606612594151983,0.0109020078065329,
bear3EP_WalkbackRM_cam2,0.9237240739166735,0.0110255865438375,
foxZED_JumpupRM_cam1,0.7807064801454544,0.0194169234794874,
hogRD_Attack3_cam1,0.5676782250404357,0.0049671591445803,
bucksYJL_Sleep1_cam1,0.9865427946640272,0.0034723474212006,
bear84Q_WalkhuntedRM_cam2,0.4880091893885817,0.0190219516267201,
procySTEM_Attacks3_cam1,0.9246407151222228,0.0067897975988065,
elephantLN0_act1_cam2,0.9416769137888245,0.0061731761758864,
tigerD8H_Swim6_cam1,0.922517059991757,0.0040061941981548,
deerK5L_Jump_cam1,0.9418663163979848,0.0013303214131155,
hogRD_Swim0_cam2,0.8256342537475355,0.0048241560051048,
deerSPL_Sleep2_cam1,0.9721874079461824,0.0023667529655494,
rabbit7L6_Hide_cam1,0.8947594273090362,0.0034856836564722,
deerA4K_hide_cam1,0.8847954877217611,0.0033124295455248,
procySTEM_Swim12_cam2,0.7872262036099154,0.0066123676832135,
bear9AK_RunleftRM_cam1,0.6059408307903342,0.0081385500121137,
rabbit7L6_WalkbackRM_cam1,0.9496631373961768,0.0027673408961466,
raccoonVGG_Walk10_cam2,0.8951925310221586,0.0025636202860341,
deerFEL_WalkbackRM_cam2,0.9157115396331338,0.0083551419323638,
mousey_FemalePeekAndAim_cam2,0.6750262039594161,0.0062125962905179,
deerA4K_Attack1_cam1,0.9637838530540468,0.0038745404826477,
grizzRSS_Walk4_cam2,0.8880454003810883,0.0073803479317575,
doggieMN5_Hide_cam1,0.9347084030508996,0.0023916884863865,
pumaRW_Sleep1_cam1,0.5573954442233751,0.0125951262360269,
foxYSY_Crouchbackright_cam1,0.8413355220109224,0.0037796107826579,
bear3EP_RunforwardRM_cam1,0.8905189990997314,0.0025884984905133,
foxXAT_runrightRM_cam1,0.8819027468562126,0.0030090158179518,
pumaRW_Run4_cam2,0.7121645398437977,0.0088324272073805,
elkML_Death0_cam1,0.8926748826223261,0.0060121204484911,
moose45D_JumpLandingRM_cam1,0.8311700610553517,0.0052983340916826,
procySTEM_Jump1_cam1,0.7877378394970527,0.0013243434078993,
procySTEM_WalkTwoFeet4_cam1,0.5771560030324119,0.0079776546030881,
foxXAT_Attack2_cam1,0.933994489411513,0.0023165701362207,
bear84Q_Agression_cam2,0.460157351642847,0.0155751570640131,
lionessHTR42_action3_cam2,0.3228122588732968,0.0470196641036781,
pumaRW_Swim8_cam1,0.8339784547686577,0.0062648567778524,
bunnyQ_JumpLandingRM_cam1,0.801484846151792,0.0049568069024154,
rabbit7L6_Attack2_cam1,0.6628848234812419,0.0057581551295394,
prisoner_BboyUprockStart_cam1,0.8468436248162213,0.0036833154507821,
canieLTT_Death1_cam1,0.8690532838241963,0.0026997909800125,
bear9AK_CrouchRightRM_cam2,0.646952026564142,0.0140705126054261,
moose45D_hate_cam1,0.942433340549469,0.0072713230317458,
rabbit7L6_Sleep_cam2,0.8949211008018918,0.0055233316133833,
rabbitJM6_Fall2_cam1,0.9811990522756808,0.0020231068086038,
deer2MB_WalkbackRM_cam1,0.9360285594182856,0.0069759121055112,
foxYSY_JumplandingRM_cam2,0.9270078837871552,0.0027617977466434,
bear3EP_Hitmiddle_cam1,0.9655836522579192,0.0040229626349173,
raccoonVGG_SleepLieSeat1_cam1,0.9827381488662096,0.0008535259031711,
procySTEM_WalkBack4_cam1,0.9078412453333536,0.0041629902164762,
deer2MB_RunstopRM_cam2,0.9302973437309264,0.0020952577795833,
doggieMN5_Jump_cam1,0.9455216356686184,0.0020983120426535,
doggieMN5_JumplandingRM_cam2,0.9255248725414276,0.0037791322916746,
moose1DOG_WalkleftRM_cam1,0.9136749957547045,0.0027590647064657,
