Sample,silh,depth,point_to_plane
tigerD8H_Actions5_cam1,0.813376909302127,0.0067322111778682,
deerVMW_WalkhuntedRM_cam2,0.7598435644592557,0.0213689440196113,
raccoonVGG_Swim10_cam1,0.924355496378506,0.0081209504329736,
bunnyQ_WalkBackRRM_cam1,0.9521755675474802,0.005403302347986,
bullMJ6_SwimBR_cam2,0.6713292037065213,0.0075223351327272,
bear3EP_FlyIP_cam1,0.981031326452891,0.002955606393516,
markerman_StandingDodgeRight_cam1,0.8999859094619751,0.0021673566240271,
pumaRW_Swim15_cam1,0.7714695286750793,0.0048167018126696,
bear84Q_Hide_cam1,0.952545698483785,0.0076303121012945,
bearVGG_Sleep0_cam2,0.8524468557702171,0.0097799579415357,
rabbit7L6_Attack1_cam2,0.9070521265268324,0.0067886136006563,
deerLO1_AttackRunRM_cam2,0.7955543696880341,0.0028848482943431,
elkML_Sleep1_cam1,0.9851326256087332,0.0068917744475501,
foxYSY_SwimBackrightRM_cam2,0.8865832507610321,0.0021218354774949,
foxYSY_Crouchright_cam2,0.8680061958730221,0.0027409546892158,
deer2MB_eat2_cam2,0.7715818412601948,0.0040920813415141,
rabbitFKP_Death0_cam1,0.4750857901360307,0.0088260016470615,
moose45D_JumpFlyIP_cam1,0.961705180009206,0.0019854458048939,
foxYSY_hitfront_cam1,0.9501536369323732,0.0015804857132025,
rabbitFKP_Sleep1_cam1,0.9411016190894926,0.0048456607878001,
doggieMN5_Hide_cam1,0.9347392745316028,0.0023973040413693,
deerK5L_Jump_cam1,0.9416987299919128,0.0013260447444433,
mousey_FemalePeekAndAim_cam2,0.6120343538813102,0.0069840732254446,
bear9AK_RunleftRM_cam1,0.6294222440984514,0.0079267841421015,
rabbit7L6_Hide_cam1,0.8915821784734725,0.003550323829404,
rabbit7L6_Sleep_cam2,0.8942410045199924,0.0055240688742034,
moose45D_hate_cam1,0.943210973739624,0.0072394109005108,
bear9AK_CrouchRightRM_cam2,0.6369992598243381,0.0146072985928343,
bear3EP_RunforwardRM_cam1,0.9287317126989364,0.0023613325320184,
bucksYJL_Sleep1_cam1,0.9865414581056368,0.0034656415839474,
deerSPL_Sleep2_cam1,0.9722194833270574,0.0023725139809835,
moose45D_JumpLandingRM_cam1,0.8294795155525208,0.0052432623582289,
rabbitJM6_Damaged4_cam2,0.7350776603588691,0.0204972876674638,
deerA4K_hide_cam1,0.8859281170368195,0.0033102461982828,
foxYSY_Crouchbackright_cam1,0.8515766374766827,0.0036549538017425,
pumaRW_Swim8_cam1,0.8510875225067138,0.0062071003776509,
hogRD_Attack3_cam1,0.7919395446777344,0.0055234622582793,
bear84Q_Agression_cam2,0.5836704412102699,0.0133815434528514,
prisoner_BboyUprockStart_cam1,0.8412515193808312,0.0038546145797761,
procySTEM_Swim12_cam2,0.8065415296484443,0.006855001899085,
moose1DOG_drink_cam1,0.9368814498186112,0.0023828232544474,
elkML_Death0_cam1,0.9031379205339096,0.006036935497404,
foxXAT_Attack2_cam1,0.937270775437355,0.0023811383204398,
pumaRW_Run4_cam2,0.7735865041613579,0.0086883490730542,
procySTEM_WalkTwoFeet4_cam1,0.6764200500079564,0.0071421621722124,
deerFEL_WalkbackRM_cam2,0.918180171181174,0.0083470198681906,
foxZED_JumpupRM_cam1,0.5914982687681913,0.0095756715309107,
grizzRSS_Walk4_cam2,0.8894017487764359,0.0073989554075524,
procySTEM_Jump1_cam1,0.784055599799523,0.0013188247222177,
procySTEM_SleepLieSeat2_cam1,0.474338347669029,0.0039051766988944,
bear84Q_WalkhuntedRM_cam2,0.4767639716821057,0.0192685906575726,
pumaRW_Sleep1_cam1,0.5843367617238652,0.0120388230995623,
lionessHTR42_action3_cam2,0.3386662371348644,0.046627231846577,
bunnyQ_JumpLandingRM_cam1,0.8221754202475915,0.0047385660716547,
rabbit7L6_Attack2_cam1,0.7962324361006419,0.0048397227869524,
canieLTT_Death1_cam1,0.8711021942428395,0.0026973212569586,
bear3EP_attack1_cam2,0.9481087684631349,0.0172858630120754,
hogRD_Swim0_cam2,0.6850622657573584,0.0056433075814945,
moose1DOG_Attack3_cam1,0.9533207297325136,0.0040710206764439,
bear3EP_WalkbackRM_cam2,0.9281848575919868,0.0110539611778222,
procySTEM_Attacks3_cam1,0.9265790661176044,0.0068140565340096,
elephantLN0_act1_cam2,0.9437017793005164,0.0061799577141011,
tigerD8H_Swim6_cam1,0.9212700289984544,0.0040286133492675,
rabbit7L6_WalkbackRM_cam1,0.9493959918618202,0.0027633597589253,
raccoonVGG_Walk10_cam2,0.8949949524619363,0.0025678307460056,
deerA4K_Attack1_cam1,0.952106909751892,0.0039670063927769,
foxXAT_runrightRM_cam1,0.8854724541306496,0.002999229269335,
rabbitJM6_Fall2_cam1,0.9812954867758402,0.0020352475708577,
deer2MB_WalkbackRM_cam1,0.9358764168094186,0.0069663049516213,
foxYSY_JumplandingRM_cam2,0.9246472775936126,0.0027979897800832,
bear3EP_Hitmiddle_cam1,0.9656438648700714,0.0039655490661971,
raccoonVGG_SleepLieSeat1_cam1,0.9827403328703634,0.0008484601683265,
procySTEM_WalkBack4_cam1,0.9076299806435902,0.0041687467057878,
deer2MB_RunstopRM_cam2,0.9302968764305116,0.002094179270789,
doggieMN5_Jump_cam1,0.9459924101829528,0.002077493091513,
doggieMN5_JumplandingRM_cam2,0.92576966881752,0.0037880439544096,
moose1DOG_WalkleftRM_cam1,0.913890459320762,0.0027581271856571,
